"","ReviewID","Ranking","ReviewDate","Sentiment","Year","Tokenized_Sentence","money_related","delivery_service","return_service","products","customer_service","brand","Topic"
"1",0,1,2019-11-05,0.22222,2019,"lade være med at handle hos zalando .",0,0,0,0,0,1,"Brand"
"2",0,1,2019-11-05,-0.5,2019,"de snyde en for penge når man skulle returnere .",1,0,1,0,0,0,"Money"
"3",0,1,2019-11-05,3.72222,2019,"jeg købe en jakke og sende den retur da jeg få penge tilbage stemme denne to beløb ikke overens .",1,0,1,1,0,0,"Money"
"4",0,1,2019-11-05,-4.66667,2019,"dårlig stil og kundeservice sige det kunne vi ikke gøre nogen ved ..",0,0,0,0,1,0,"Customer Service"
"5",1,1,2019-11-04,-3.66667,2019,"hjemmeside være ubrugelig på en ipad .",0,0,0,0,0,1,"Brand"
"6",1,1,2019-11-04,1.38889,2019,"menue vise kun en begrænse del af hvad firma tilsyneladende sælge og søgning være den ren goddag mand økseskaft .",0,0,0,0,0,1,"Brand"
"7",1,1,2019-11-04,0,2019,"ingen telefonsupport .",0,0,0,0,1,0,"Customer Service"
"8",1,1,2019-11-04,0,2019,"ingen chatsupport .",0,0,0,0,1,0,"Customer Service"
"9",2,1,2019-11-04,-2.28889,2019,"jeg have bestille en ordre for en uge siden nu og den være stadig ikke sende i nu dårlig service når man spørge af hvor den blive af få man bare at vide at den nok skulle blive sende snart og at de ingen kunne gøre ved det .",0,0,0,0,1,0,"Customer Service"
"10",3,1,2019-11-02,3.18333,2019,"bestille og få at vide min ordre ville blive levere over to omgange .",0,0,0,0,0,0,"Uncategorized"
"11",3,1,2019-11-02,-2.83333,2019,"den første pakke være uden problem .",0,0,0,0,0,0,"Uncategorized"
"12",3,1,2019-11-02,3.29167,2019,"da jeg endnu ikke have få besked på anden pakke i går over uge efter skrive jeg og få besked på pakke være forsøge levere og have ligge hos pakkeshop siden .",0,0,0,0,0,0,"Uncategorized"
"13",3,1,2019-11-02,1,2019,"jeg have være dernede i dag og da der være gå over dag være den sende retur .",0,0,1,0,0,0,"Return"
"14",3,1,2019-11-02,0,2019,"for den første have jeg ikke bede om hjemmelevering og for det anden have jeg ikke få besked om pakke kunne hente .",0,1,0,0,1,0,"Delivery"
"15",3,1,2019-11-02,4.94444,2019,"have i dag kontakt zalando på chat som beklage og oplyse at jeg få penge retur når når pakke være retur og ellers bestille på ny .",1,0,1,0,1,1,"Money"
"16",3,1,2019-11-02,-2.95556,2019,"det være en virkelig ærgerligt forløb zalando",0,0,0,0,0,1,"Brand"
"17",4,1,2019-11-02,1,2019,"jeg have købe en kjole bruge den tre gang og den være gå op i syning .",0,0,0,0,0,0,"Uncategorized"
"18",4,1,2019-11-02,-0.08333,2019,"lave en reklamation ... jeg kunne få .",0,0,1,0,0,0,"Return"
"19",4,1,2019-11-02,1.16667,2019,"hvilken jo ikke være nok til at få den fixet eller jeg kunne returnere kjole .",0,0,1,0,0,0,"Return"
"20",4,1,2019-11-02,0.5,2019,"de kunne ikke give jeg en ny .",0,0,0,0,0,0,"Uncategorized"
"21",4,1,2019-11-02,1.5,2019,"selvfølgelig få man da en ny kjole når den de have sende være defekt .",0,0,0,0,0,0,"Uncategorized"
"22",4,1,2019-11-02,-4.6,2019,"mega dårlig service ....",0,0,0,0,1,0,"Customer Service"
"23",5,5,2019-11-01,3.66667,2019,"købe altid tøj herholdsvis nemt og fin udvalg til jeg .",0,0,0,1,0,0,"Products"
"24",6,1,2019-11-01,0.33333,2019,"deres system være ikke i stand til at gense ordrebekraftelse være beskeden fra deres servicemedarbejder .",0,0,0,0,1,0,"Customer Service"
"25",6,1,2019-11-01,0.33333,2019,"pga en tastefejl i min mail have jeg ikke en kvittering på køb .",0,0,0,0,1,0,"Customer Service"
"26",6,1,2019-11-01,4.66667,2019,"jeg kunne anbefale al at benytte sig af boozt frem for zalando både leveringstid og service være i top her .",0,1,0,0,1,1,"Delivery"
"27",6,1,2019-11-01,-7.33333,2019,"zalando behøve for rest ikke svare på den her anmeldelse med en forklaring det have jeg skam få vi have desværre ikke mulighed for at genere en ordrebekræftelse din bekræftelse være oversigt på din zalando kontor",0,0,0,1,1,1,"Products"
"28",7,4,2019-11-01,6.33333,2019,"altid hurtig levering og god produkterbrands .",0,1,0,1,1,0,"Delivery"
"29",7,4,2019-11-01,2.66667,2019,"kunne helt klart anbefale det til anden .",0,0,0,0,0,1,"Brand"
"30",8,1,2019-10-31,-0.41667,2019,"lang levering og en ikke brugbart service center .",0,1,0,0,1,0,"Delivery"
"31",8,1,2019-10-31,3.5,2019,"pleje ellers at være god ..",0,0,0,0,0,0,"Uncategorized"
"32",9,1,2019-10-30,0,2019,"bestille en trøje den hos zalando .",0,0,0,0,0,1,"Brand"
"33",9,1,2019-10-30,2,2019,"penge trække .",1,0,0,0,0,0,"Money"
"34",9,1,2019-10-30,-1.66667,2019,"trøj aldrig afsende .",0,0,0,0,0,0,"Uncategorized"
"35",9,1,2019-10-30,3.72222,2019,"zalando oplyse jeg om at det være firmaetsuperdry som være ansvarlig for denne og ikke zalando som jeg ellers tro jeg handle med .",0,0,0,0,0,1,"Brand"
"36",9,1,2019-10-30,1,2019,"supe dårlig stil og ikke mindst dårlig ingen service fra zalandos side .",0,0,0,0,1,1,"Customer Service"
"37",10,1,2019-10-29,2.91667,2019,"jeg have før anbefale zalando .",0,0,0,0,0,1,"Brand"
"38",10,1,2019-10-29,0.33333,2019,"det gøre jeg absolut ikke igen .",0,0,0,0,0,0,"Uncategorized"
"39",10,1,2019-10-29,5.33333,2019,"den eneste positiv være at de gøre det nemt emballagemæssigt at returnere .",0,0,1,0,0,0,"Return"
"40",10,1,2019-10-29,-3,2019,"drfra gå det galt .",0,0,0,0,0,0,"Uncategorized"
"41",10,1,2019-10-29,1.16667,2019,"jeg have sende en vare retur efter jeg modtage en påmindelse med post .",0,1,1,1,0,0,"Delivery"
"42",10,1,2019-10-29,-3.16667,2019,"det være min fejl at jeg glemme al om pakke inden jeg tage i sommerhus .",0,0,0,0,0,0,"Uncategorized"
"43",10,1,2019-10-29,-3.22222,2019,"den tage jeg gerne på min kappe det være dårlig stil .",0,0,0,0,0,1,"Brand"
"44",10,1,2019-10-29,-1.55556,2019,"jeg skrive til kundeservice og beklage dybt at jeg ikke have have sende den retur endnu .",0,0,1,0,1,0,"Return"
